TIME,LABEL
65.837,4.5
79.016,10.25
88.74666667,13
111.5733333,25.5
115.2853333,27.5
119.0186667,29.5
133.376,37
139.1786667,40
146.165,44
151.872,47
157.92,49.99
173.952,58.25
176.16,59.25
180.72,61.25
183.36,62.25
193.032,66.25
222.864,80.75
230.304,84.25
235.8613333,86.75
238.464,87.5
268.176,103.25
281.952,109.25
307.4346667,121.25
313.9626667,124.5
352.44,145
364.186,150.99
380.6293333,159.25
382.824,160.25
390.1226667,163.25
419.197,178 x
427.205,181.99
436.2453333,185.67
452.48,191.68
457.632,e-1
488.64,22.33
497.0453333,38
515.264,22.33
524.0746667,38
602.8373333,187
619.752,222.33
628.8,238
646.656,222.33
655.632,238
670.152,268
716.28,2.99
787.56,12.83
819.744,17.33
827.088,18.33
838.368,19.83
862.15,22.99
926.232,29.83
933.672,30.67
989.592,36.83
1037.04,42.91
1116.456,52
1121.64,52.5
1137.36,54
1148.28,54.67
1152.88,e-1
1175.52,New Point
1188.504,New Point
1204.584,New Point
1220.616,New Point
1227.216,New Point
1240.44,New Point
1247.256,New Point
1281.36,New Point
1312.13,New Point
1338.37,New Point
1346.352,New Point
1369.92,New Point
1462.272,New Point
1477.09,New Point
1482.43,New Point
1524.61,New Point
1539.47,New Point
1561.95,New Point
1565.31,New Point
1572.11,New Point
2061.36,New Point
2086.53,New Point
2153.63,New Point
2251.093333,New Point
2363.23,New Point
2407.346667,e-1
2425.973333,New Point
2433.2,New Point
2435.453333,New Point
2461.47,New Point
2474.786667,New Point
2490.59,New Point
2515.12,New Point
2520.35,New Point
2528.27,New Point
2590.96,New Point
2610.506667,New Point
2710.333333,New Point
2740.27,New Point
2747.133333,e-1
2824.0,New Point
2834.4,New Point
2842.973333,New Point
2911.426667,New Point
2964.51,New Point
3084.053333,New Point
3121.63,New Point
3142.6,New Point
5399.586667,New Point
5424.373333,New Point
5664.826667,New Point
5885.13,New Point
6011.506667,e
6299.12,New Point
6312.946667,New Point
6352.546667,New Point
6382.12,New Point
6396.1,New Point
6408.32,New Point
6420.18,New Point
6433.07,New Point
6448.01,New Point
6464.86,New Point
6472.52,New Point
6490.9,e-1
6541.55,New Point
6579.44,New Point
6591.01,New Point
6628.573333,New Point
6677.96,New Point
6701.17,New Point
6711.346667,New Point
6728.4,New Point
6757.373333,e
6816.546667,x
6829.266667,x
6839.666667,New Point
6851.96,New Point
6857.44,New Point
6875.44,New Point
6898.586667,x
6902.373333,New Point
6918.826667,New Point
6979.653333,New Point
6988.226667,New Point
6999.91,New Point
7013.213333,New Point
7078.786667,New Point
7141.466667,New Point
7169.04,e
7263.52,New Point
7315.43,New Point
7527.613333,e
7916.48,New Point
8026.197333,New Point
