,Full Concert,Beethoven,Schnittke,Bach,Folk
ADQ001,0.4382716049382716,0.5632183908045977,0.0,0.6,0.48717948717948717
ADQ002,0.16049382716049382,0.0,0.0,0.2,0.6410256410256411
ADQ003,0.5432098765432098,0.5517241379310345,0.5806451612903226,0.4,0.5128205128205128
ADQ004,0.5493827160493827,0.5172413793103449,0.5483870967741935,0.6,0.6153846153846154
ADQ005,0.5185185185185185,0.5057471264367817,0.41935483870967744,0.8,0.5897435897435898
ADQ006,0.6234567901234568,0.5977011494252874,0.7096774193548387,0.8,0.5897435897435898
ADQ007,0.5555555555555556,0.6206896551724138,0.5161290322580645,0.6,0.4358974358974359
ADQ008,0.5679012345679012,0.5287356321839081,0.7419354838709677,0.8,0.48717948717948717
ADQ009,0.5987654320987654,0.5517241379310345,0.6129032258064516,0.8,0.6666666666666666
ADQ010,0.5432098765432098,0.4942528735632184,0.5483870967741935,0.4,0.6666666666666666
ADQ011,0.5864197530864198,0.5747126436781609,0.6774193548387096,0.4,0.5641025641025641
ADQ012,0.5185185185185185,0.5287356321839081,0.45161290322580644,0.8,0.5128205128205128
ADQ013,0.4382716049382716,0.47126436781609193,0.41935483870967744,0.6,0.358974358974359
ADQ014,0.47530864197530864,0.47126436781609193,0.3870967741935484,0.4,0.5641025641025641
ADQ015,0.5617283950617284,0.5287356321839081,0.5483870967741935,0.6,0.6410256410256411
ADQ016,0.5679012345679012,0.5862068965517241,0.5161290322580645,0.6,0.5641025641025641
ADQ017,0.10493827160493827,0.0,0.0,0.6,0.358974358974359
ADQ018,0.6049382716049383,0.5862068965517241,0.5806451612903226,1.0,0.6153846153846154
ADQ019,0.49382716049382713,0.4942528735632184,0.5806451612903226,0.6,0.41025641025641024
ADQ020,0.49382716049382713,0.4367816091954023,0.5483870967741935,0.2,0.6153846153846154
ADQ021,0.37037037037037035,0.5402298850574713,0.41935483870967744,0.0,0.0
ADQ022,0.4506172839506173,0.47126436781609193,0.5806451612903226,0.8,0.2564102564102564
ADQ023,0.5,0.5287356321839081,0.3548387096774194,0.2,0.5897435897435898
ADQ024,0.5308641975308642,0.6091954022988506,0.45161290322580644,0.2,0.46153846153846156
ADQ025,0.5555555555555556,0.6091954022988506,0.5806451612903226,0.4,0.4358974358974359
ADQ026,0.5493827160493827,0.5172413793103449,0.6451612903225806,0.6,0.5384615384615384
ADQ027,0.6234567901234568,0.6781609195402298,0.6451612903225806,0.4,0.5128205128205128
ADQ028,0.6296296296296297,0.6436781609195402,0.5806451612903226,0.8,0.6153846153846154
ADQ029,0.41975308641975306,0.5402298850574713,0.3225806451612903,0.6,0.20512820512820512
ADQ030,0.5987654320987654,0.6091954022988506,0.6129032258064516,0.4,0.5897435897435898
ADQ031,0.5987654320987654,0.6091954022988506,0.5806451612903226,0.8,0.5641025641025641
ADQ032,0.41358024691358025,0.5632183908045977,0.5806451612903226,0.0,0.0
ADQ033,0.5987654320987654,0.5977011494252874,0.5161290322580645,0.8,0.6410256410256411
ADQ034,0.5,0.5057471264367817,0.3870967741935484,0.8,0.5384615384615384
ADQ035,0.5493827160493827,0.5632183908045977,0.5483870967741935,0.4,0.5384615384615384
ADQ036,0.5493827160493827,0.5057471264367817,0.5483870967741935,0.6,0.6410256410256411
ADQ037,0.5432098765432098,0.4942528735632184,0.6451612903225806,0.4,0.5897435897435898
ADQ038,0.5679012345679012,0.5172413793103449,0.6129032258064516,0.4,0.6666666666666666
ADQ039,0.48148148148148145,0.5517241379310345,0.3870967741935484,0.0,0.46153846153846156
ADQ040,0.5864197530864198,0.6436781609195402,0.5483870967741935,0.4,0.5128205128205128
ADQ041,0.6666666666666666,0.6896551724137931,0.5483870967741935,0.8,0.6923076923076923
ADQ042,0.5370370370370371,0.4482758620689655,0.6129032258064516,0.8,0.6410256410256411
ADQ043,0.5493827160493827,0.5977011494252874,0.5483870967741935,0.6,0.4358974358974359
ADQ044,0.5679012345679012,0.5747126436781609,0.5483870967741935,0.2,0.6153846153846154
ADQ045,0.4074074074074074,0.4827586206896552,0.0,0.2,0.5897435897435898
ADQ046,0.5925925925925926,0.5517241379310345,0.6451612903225806,0.6,0.6410256410256411
ADQ047,0.49382716049382713,0.45977011494252873,0.6129032258064516,0.4,0.48717948717948717
ADQ048,0.6419753086419753,0.6436781609195402,0.6774193548387096,0.8,0.5897435897435898
ADQ049,0.5864197530864198,0.5747126436781609,0.5806451612903226,0.6,0.6153846153846154
ADQ050,0.5,0.45977011494252873,0.5161290322580645,0.4,0.5897435897435898
ADQ051,0.5493827160493827,0.4942528735632184,0.3870967741935484,0.8,0.7692307692307693
ADQ052,0.6049382716049383,0.5977011494252874,0.5806451612903226,0.6,0.6410256410256411
ADQ053,0.5123456790123457,0.4482758620689655,0.4838709677419355,0.8,0.6410256410256411
ADQ054,0.5617283950617284,0.5632183908045977,0.4838709677419355,0.6,0.6153846153846154
ADQ055,0.6049382716049383,0.5747126436781609,0.6129032258064516,0.6,0.6666666666666666
ADQ056,0.5864197530864198,0.5862068965517241,0.5161290322580645,0.6,0.6410256410256411
ADQ057,0.5555555555555556,0.5977011494252874,0.5161290322580645,0.6,0.48717948717948717
ADQ058,0.36419753086419754,0.40229885057471265,0.4838709677419355,0.6,0.15384615384615385
ADQ059,0.5370370370370371,0.5172413793103449,0.5483870967741935,0.6,0.5641025641025641
ADQ060,0.5555555555555556,0.5402298850574713,0.6129032258064516,0.6,0.5384615384615384
ADQ061,0.5432098765432098,0.5057471264367817,0.6774193548387096,0.6,0.5128205128205128
ADQ062,0.5061728395061729,0.5517241379310345,0.41935483870967744,0.2,0.5128205128205128
ADQ063,0.5802469135802469,0.5517241379310345,0.6451612903225806,0.8,0.5641025641025641
ADQ064,0.41358024691358025,0.47126436781609193,0.0,0.4,0.6153846153846154
ADQ065,0.35802469135802467,0.5402298850574713,0.3548387096774194,0.0,0.0
ADQ066,0.4444444444444444,0.5862068965517241,0.5483870967741935,0.8,0.0
ADR067,0.5740740740740741,0.632183908045977,0.4838709677419355,0.6,0.5128205128205128
ADR068,0.5864197530864198,0.5747126436781609,0.6774193548387096,0.4,0.5641025641025641
ADR069,0.5617283950617284,0.5402298850574713,0.6774193548387096,0.2,0.5641025641025641
ADR070,0.5740740740740741,0.5517241379310345,0.7096774193548387,0.6,0.5128205128205128
ADR071,0.5493827160493827,0.47126436781609193,0.6451612903225806,0.4,0.6666666666666666
AEQ077,0.2716049382716049,0.5057471264367817,0.0,0.0,0.0
AEQ078,0.41975308641975306,0.5747126436781609,0.5806451612903226,0.0,0.0
AEQ079,0.4074074074074074,0.3793103448275862,0.41935483870967744,0.2,0.48717948717948717
AEQ080,0.5740740740740741,0.5632183908045977,0.4838709677419355,0.8,0.6410256410256411
AEQ081,0.5864197530864198,0.45977011494252873,0.7419354838709677,0.8,0.717948717948718
AEQ082,0.6419753086419753,0.632183908045977,0.5806451612903226,0.6,0.717948717948718
AEQ083,0.6111111111111112,0.5977011494252874,0.5806451612903226,0.6,0.6666666666666666
AEQ084,0.30246913580246915,0.4482758620689655,0.3225806451612903,0.0,0.0
AEQ085,0.4691358024691358,0.4827586206896552,0.45161290322580644,0.8,0.41025641025641024
AEQ086,0.12962962962962962,0.0,0.0,0.6,0.46153846153846156
AEQ087,0.5740740740740741,0.5172413793103449,0.6774193548387096,0.8,0.5897435897435898
AEQ088,0.5679012345679012,0.5517241379310345,0.4838709677419355,1.0,0.6153846153846154
AEQ089,0.5493827160493827,0.6091954022988506,0.41935483870967744,0.4,0.5384615384615384
AER090,0.5802469135802469,0.6206896551724138,0.4838709677419355,0.8,0.5384615384615384
